Comment,Designator,Value,Footprint,JLCPCB Part #
Analog Multiplexer,AM1,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
Analog Multiplexer,AM2,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
Analog Multiplexer,AM3,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
Analog Multiplexer,AM4,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
Analog Multiplexer,AM5,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
Analog Multiplexer,AM6,SN74LV4051A,TSSOP-16_4.4x5mm_P0.65mm,C7793 
100n,C1,100n,C_0402_1005Metric,C1525 
100n,C2,100n,C_0402_1005Metric,C1525 
100n,C3,100n,C_0402_1005Metric,C1525 
100n,C4,100n,C_0402_1005Metric,C1525 
100n,C5,100n,C_0402_1005Metric,C1525 
100n,C6,100n,C_0402_1005Metric,C1525 
100n,C7,100n,C_0402_1005Metric,C1525 
100n,C8,100n,C_0402_1005Metric,C1525 
100n,C9,100n,C_0402_1005Metric,C1525 
100n,C10,100n,C_0402_1005Metric,C1525 
100n,C11,100n,C_0402_1005Metric,C1525 
100n,C12,100n,C_0402_1005Metric,C1525 
100n,C13,100n,C_0402_1005Metric,C1525 
100n,C14,100n,C_0402_1005Metric,C1525 
100n,C15,100n,C_0402_1005Metric,C1525 
100n,C16,100n,C_0402_1005Metric,C1525 
100n,C17,100n,C_0402_1005Metric,C1525 
100n,C18,100n,C_0402_1005Metric,C1525 
100n,C19,100n,C_0402_1005Metric,C1525 
100n,C20,100n,C_0402_1005Metric,C1525 
100n,C21,100n,C_0402_1005Metric,C1525 
100n,C22,100n,C_0402_1005Metric,C1525 
100n,C23,100n,C_0402_1005Metric,C1525 
100n,C24,100n,C_0402_1005Metric,C1525 
100n,C25,100n,C_0402_1005Metric,C1525 
100n,C26,100n,C_0402_1005Metric,C1525 
100n,C27,100n,C_0402_1005Metric,C1525 
100n,C28,100n,C_0402_1005Metric,C1525 
100n,C29,100n,C_0402_1005Metric,C1525 
100n,C30,100n,C_0402_1005Metric,C1525 
100n,C31,100n,C_0402_1005Metric,C1525 
100n,C32,100n,C_0402_1005Metric,C1525 
100n,C33,100n,C_0402_1005Metric,C1525 
100n,C34,100n,C_0402_1005Metric,C1525 
100n,C35,100n,C_0402_1005Metric,C1525 
100n,C36,100n,C_0402_1005Metric,C1525 
100n,C37,100n,C_0402_1005Metric,C1525 
100n,C38,100n,C_0402_1005Metric,C1525 
100n,C39,100n,C_0402_1005Metric,C1525 
100n,C40,100n,C_0402_1005Metric,C1525 
100n,C41,100n,C_0402_1005Metric,C1525 
100n,C42,100n,C_0402_1005Metric,C1525 
100n,C43,100n,C_0402_1005Metric,C1525 
10p,C44,10p,C_0402_1005Metric,C32949 
10p,C46,10p,C_0402_1005Metric,C32949 
1u,C47,1u,C_0603_1608Metric,C15849 
1u,C48,1u,C_0603_1608Metric,C15849 
2.2u,C49,2.2u,C_0603_1608Metric,C23630 
2.2u,C50,2.2u,C_0603_1608Metric,C23630 
100n,C81,100n,C_0402_1005Metric,C1525 
100n,C82,100n,C_0402_1005Metric,C1525 
100n,C83,100n,C_0402_1005Metric,C1525 
100n,C84,100n,C_0402_1005Metric,C1525 
100n,C85,100n,C_0402_1005Metric,C1525 
10u,C86,10u,C_0603_1608Metric,C19702 
100n,C87,100n,C_0402_1005Metric,C1525 
1u,C88,1u,C_0603_1608Metric,C15849 
100n,C89,100n,C_0402_1005Metric,C1525 
4.7u,C90,4.7u,C_0603_1608Metric,C19666 
Fuse,F1,BSMD0805-050-24V,Fuse_0805_2012Metric,C910822 
Hall Effect Sensor,HE1,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE2,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE3,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE4,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE5,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE6,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE7,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE8,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE9,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE10,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE11,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE12,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE13,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE14,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE15,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE16,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE17,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE18,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE19,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE20,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE21,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE22,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE23,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE24,SS39ET ,SOT-23,C126669 
Hall Effect Sensor,HE25,SS39ET ,SOT-23,C126669 
